Player,Team,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50,100,200
Virat Kohli,India,IPL,192,184,30,5878,113,38.17,4496,130.74,503,201,39,5,0
Rohit Sharma,India,IPL,200,195,28,5230,109,31.32,4004,130.62,458,213,39,1,0
Shikhar Dhawan,India,IPL,176,175,23,5196,106,34.18,4096,126.86,591,108,41,2,0
Shubman Gill,India,IPL,41,38,10,939,76,33.54,750,125.2,87,24,7,0,0
Shreyas Iyer,India,IPL,79,79,9,2200,96,31.43,1745,126.07,189,83,16,0,0
Manish Pandey,India,IPL,146,135,25,3268,114,29.71,2686,121.67,287,93,18,1,0
Mayank Agarwal,India,IPL,88,83,3,1694,106,21.18,1259,134.55,162,67,7,1,0
Prithvi Shaw,India,IPL,38,38,0,826,99,21.74,591,139.76,99,27,6,0,0
Cheteshwar Pujara,India,IPL,30,22,3,390,51,20.53,391,99.74,50,4,1,0,0
Ajinkya Rahane,India,IPL,149,140,16,3933,105,31.72,3240,121.39,416,76,28,2,0
Hardik Pandya,India,IPL,80,74,29,1349,91,29.98,847,159.27,86,93,4,0,0
Hanuma Vihari,India,IPL,24,23,3,284,46,14.2,321,88.47,23,1,0,0,0
Ravindra Jadeja,India,IPL,184,139,54,2159,50,25.4,1706,126.55,157,76,1,0,0
Ravichandran Ashwin,India,IPL,154,58,20,412,45,10.84,373,110.46,35,11,0,0,0
KL Rahul,India,IPL,81,72,13,2647,132,44.86,1949,135.81,234,104,21,2,0
Sanju Samson,India,IPL,107,103,10,2584,102,27.78,1932,133.75,191,115,13,2,0
Wriddhiman Saha,India,IPL,124,99,22,1979,115,25.7,1499,132.02,184,64,8,1,0
Rishabh Pant,India,IPL,68,68,9,2079,128,35.24,1368,151.97,183,103,12,1,0
Mohammed Shami,India,IPL,63,19,9,56,21,5.6,56,100,5,2,0,0,0
Jasprit Bumrah,India,IPL,92,13,10,40,16,13.33,41,97.56,2,1,0,0,0
Kuldeep Yadav,India,IPL,45,11,5,57,16,9.5,75,76,5,0,0,0,0
Yuzvendra Chahal,India,IPL,99,16,10,22,4,3.67,51,43.14,0,0,0,0,0
Navdeep Saini,India,IPL,26,5,3,29,12,14.5,31,93.55,3,0,0,0,0
Shardul Thakur,India,IPL,45,10,4,48,15,8,42,114.29,5,1,0,0,0
Umesh Yadav,India,IPL,121,38,24,122,24,8.71,128,95.31,11,4,0,0,0
Mohammed Siraj,India,IPL,35,11,7,46,14,11.5,50,92,4,1,0,0,0
William Porterfield,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
James McCollum,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Balbirnie,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Kane,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin O Brien,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Stirling,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
Stuart Thompson,Ireland,IPL,0,0,0,0,0,0,0,0,0,0,0,0,0
