Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Virat Kohli,India,IPL,192,26,251,368,4,Feb-25,Feb-25,8.8,92,62.75,0,0
Rohit Sharma,India,IPL,200,30,332,440,15,04-Jun,04-Jun,7.95,29.33,22.13,0,0
Shikhar Dhawan,India,IPL,176,6,48,66,4,01-Jul,01-Jul,8.25,16.5,12,0,0
Shubman Gill,India,IPL,41,0,0,0,0,0,0,0,0,0,0,0
Shreyas Iyer,India,IPL,79,0,0,0,0,0,0,0,0,0,0,0
Manish Pandey,India,IPL,146,0,0,0,0,0,0,0,0,0,0,0
Mayank Agarwal,India,IPL,88,0,0,0,0,0,0,0,0,0,0,0
Prithvi Shaw,India,IPL,38,0,0,0,0,0,0,0,0,0,0,0
Cheteshwar Pujara,India,IPL,30,0,0,0,0,0,0,0,0,0,0,0
Ajinkya Rahane,India,IPL,149,1,6,5,1,01-May,01-May,5,5,6,0,0
Hardik Pandya,India,IPL,80,60,869,1313,42,Mar-20,Mar-20,9.07,31.26,20.69,0,0
Hanuma Vihari,India,IPL,24,6,42,47,1,01-May,01-May,6.71,47,42,0,0
Ravindra Jadeja,India,IPL,184,155,2713,3470,114,May-16,May-16,7.67,30.44,23.8,1,0
Ravichandran Ashwin,India,IPL,154,151,3230,3700,138,Apr-34,Apr-34,6.87,26.81,23.41,0,0
KL Rahul,India,IPL,81,0,0,0,0,0,0,0,0,0,0,0
Sanju Samson,India,IPL,107,0,0,0,0,0,0,0,0,0,0,0
Wriddhiman Saha,India,IPL,124,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,India,IPL,68,0,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,India,IPL,63,63,1354,2007,60,Mar-15,Mar-15,8.89,33.45,22.57,0,0
Jasprit Bumrah,India,IPL,92,92,2092,2587,109,Apr-14,Apr-14,7.42,23.73,19.19,0,0
Kuldeep Yadav,India,IPL,45,43,896,1236,40,Apr-20,Apr-20,8.28,30.9,22.4,0,0
Yuzvendra Chahal,India,IPL,99,98,2130,2723,121,Apr-25,Apr-25,7.67,22.5,17.6,0,0
